news_author,news_headline,related_tweet,post_replies,post_retweets,post_favourites,post_quotes,user_followers,user_following,user_friends,user_mentions,user_favourites,user_tweets_count,user_tweet_count_lists,user_country,misinformation
Tom Kertscher,Says Donald Trump won Arizona.,"@SenMikeLee @RepChrisStewart NO ONE wants to hear a word you say. Go back to polishing Donald Trump's shoes. 

And by the way, Arizona recount Cyber Ninjas certified Joe won, yet Trump last weekend called it a win for him. Mike Lee sold out to a mentally unstable maniac. VOTE MIKE OUT.  @sltrib @GOP @KSLcom",0.0,0,0,0,171.0,0.0,471.0,2.0,13057.0,8548.0,1.0,,0.0
Lawrence Andrea,"""Our health department, our city and our county declared racism as a public health crisis last year.","@michaeljknowles If this stands wait until OSHA notices the so called public health crisis' involving racism, firearms &amp; global warming. There is a reason they're pushing this &amp; this is just a toe in the water with what they've got planned.",1.0,1,9,0,22.0,0.0,53.0,1.0,2520.0,1851.0,1.0,,1.0
Madison Czopek,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""","@LynnHolliday8 @BobbyStrake @StevenDelDuca @fordnation Less than 1% of both vaxxed and unvaxxed end up in hospital when contracting Covid. Also, CDC and Ontario has admitted they don't differentiate between those who are there for Covid and those who are there for something else but tested Covid +. That will inflate the numbers.",0.0,0,2,0,82.0,0.0,267.0,4.0,8158.0,4465.0,1.0,,0.0
Madlin Mekelburg,In the last 10 years less than half of adults in the U.S. received a flu shot.,"@LuckieKathy Got one same time I got my flu shot. Only need one every 10 years. Lost my spleen in 1995 &amp; it was recommended I get one so got 1st in 1996, then 2010 &amp; last Nov. Didn't stick to schedule but at least I got it.",1.0,1,13,0,7634.0,,8375.0,1.0,104923.0,10498.0,0.0,US,1.0
W. Gardner,Says abortions are decreasing.,@CNN @CNNOpinion Only in your warped world. Trend toward unrestricted abortions is steadily decreasing even amongst most ardent pro-choice advocates. Notion abortion choice will be eliminated is groundless. Issue is when is it no longer a unilateral choice because of viability of the unborn child,0.0,0,0,0,24.0,,81.0,2.0,8535.0,21377.0,0.0,US,1.0
Noah Y.,Hank Aarons death was caused by a COVID-19 vaccine.,"Seems no cause of death determined or publicized for Henry ""Hank"" Aaron.  He did get a Moderna COVID vaccine on January 6th.  He was apparently a very healthy 86-yr-old.  His plan, to encourage black folk to get the vaccine, may be derailed.",0.0,4,11,0,1506.0,,350.0,0.0,30630.0,148983.0,0.0,,0.0
Monique Curet,Says Biden wants a nationwide lockdown to combat a virus that has a 99%+ survival rate.,"Lemme tell you why Im for Biden since some of yall curious; 
-Biden wants to keep abortion safe and legal for all women 
-Biden believes in abolishing the death penalty
-Biden will issue a nationwide mask mandate 
- Hell issue a nationwide lockdown",1.0,0,5,0,209.0,,321.0,0.0,31285.0,18400.0,1.0,US,0.0
Bill McCarthy,"It now appears there actually was meaningful voter fraud in Fulton County, Georgia, last November. That is not a conspiracy theory. It's true.","@Benny13177 @ZubyMusic She overplayed her hand since last November she mocked mask wearing + falsely stated voter fraud occurred during the elections. 

That was just the last for some people.",0.0,0,0,0,49.0,,9.0,1.0,8084.0,8491.0,1.0,US,0.0
Ciara O'Rourke,"Next week has a time change, full moon and Friday the 13th.","Whoever jinxed us by pointing out that a time change, full moon, and Friday the 13th were all happening within a week, just wanna say... Oof.",0.0,0,1,0,58.0,0.0,330.0,0.0,40285.0,6962.0,0.0,,0.0
Sean Nelson,"""Twenty-five percent of our kids in foster care are there because their parents are involved in drugs.""",@TheDemocrats What are you doing with inner city violence? Black kids in foster care parents in jail for crimes and drugs?,0.0,0,0,0,199.0,,664.0,1.0,5546.0,5221.0,1.0,US,1.0
Jon Greenberg,"Says ""Bernie Sanders was there when it came to (same-sex) marriage 20 years ago. ... He was there when it wasn't popular.""","@ResisterNo1 @AngelRaldiriz @lyzl @JoeBiden Joe Biden voted for dont ask dont tell and DOMA.

Sanders voted against DADT and DOMA, then endorsed same sex marriage in 2009. 

Warren supported SSM from the jump and called for repealing DOMA 6 months before Biden endorsed SSM. Fuck outta here with that revisionist bullshit.",2.0,0,0,0,2646.0,,1574.0,3.0,318944.0,18997.0,23.0,US,1.0
Daniel Funke,"A judge has ordered a ""HAND RECOUNT by an INDEPENDENT COMMISSION in the state of Michigan, following hard evidence of voting fraud by Detroit City Election Commission.""","@BigCheds BREAKING NEWS: Michigan Judge Kenny orders HAND RECOUNT by an INDEPENDENT COMMISSION in the state of Michigan, following hard evidence of voting fraud by Detroit City Election Commission. BUCKLE UP FOLKS!",2.0,0,1,0,74.0,,521.0,1.0,4243.0,3233.0,2.0,US,0.0
C. Eugene,"""We now do have evidence"" that Donald Trump is being used as a recruiting tool for terrorists.",@oliverdarcy Trumps Solicitation Murder Rallies Recruiting White Male Suprematist Murderous Terrorists @realDonaldTrump     Thank You @FBI Americas First Line Of Defense Against Americas Adversaries,0.0,0,0,0,1553.0,,2060.0,1.0,41219.0,49691.0,0.0,US,1.0
Victoria Knight,The percentage of Americans with natural immunity from getting COVID-19 is a very powerful vaccine in itself.,"@DiscreetAfrican @Gill_Gross Highly suspect that he got covid again given the sketchiness surrounding his Dec 16 report. Also natural immunity doesn't last forever, boss.. ultimately as it fades, it needs to be reinforced through a vaccine which is designed to give you longer term immunity.",1.0,0,0,0,74.0,0.0,453.0,2.0,17062.0,1874.0,1.0,,0.0
Bill McCarthy,Video footage from Georgia shows suitcases filled with ballots pulled from under a table and illegally counted after election observers were told to leave.,"I am beyond enraged!  That MONSTER, trump, told Hannity &amp; othets that an African American Grandmother who volunteered to count votes in Georgia is the reason he lost becuz she brought suitcases in with bogus
Ballots! Hannity &amp; others have been reporting that lie",4.0,2,4,0,2570.0,,2455.0,0.0,234152.0,288943.0,6.0,US,0.0
Steve Contorno,"""Rand Pauls speech ... on 'Gattaca' was totally ripped off of Wikipedia.""",Rand Paul never saved anything for the swim back RT @terrencemcd: Maybe Rand Paul's speechwriter WROTE the Gattaca Wikipedia page?,0.0,0,0,0,985.0,,543.0,1.0,10811.0,24819.0,41.0,,1.0
Sean Gorman,"""A shocking 20 veterans are committing suicide each and every day, especially our older veterans.""","@HuffPostPol We live in a caste system here in the United States, it's not official but the $Million Talkers dictate to the followers who to worship. Meghan Markle 1st class citizen, 20-22 American Military Veterans committing suicide per day, 5th class citizens, forgotten people.",1.0,0,0,0,98.0,,288.0,1.0,2933.0,35248.0,0.0,US,1.0
Kelsey Sena,BREAKING: Pennsylvania initiated a FULL audit of the RIGGED ELECTION,"@FightingBackPa @PAGOP @PAHouseGOP Full audit. I have no trust for anyone ...no matter what political party you are
I want to ensure that my vote counted and there is plenty of evidence to prove that there was a massive improprieties with this voting election in Pennsylvania",0.0,0,1,0,3830.0,,3441.0,3.0,105085.0,135083.0,2.0,US,0.0
Clara Hendrickson,"""Michigan has requested a full forensic audit.""",@SeanFulce2040 Michigan needs a forensic audit!,0.0,0,0,0,1495.0,,2157.0,1.0,124340.0,44252.0,5.0,US,1.0
Louis Jacobson,"""According to the Centers for Disease Control and Prevention (CDC), about 120 Americans on average die from a drug overdose every day. Overall, drug overdose deaths now outnumber deaths from firearms.""","@goodthingimhere @blainecapatch Yall just believe everything on the internet don't you? According to the CDC, only 470 people 18 years old or younger have died as result of Covid-19. More people in that age group overdose on drugs than die from Covid.. Tell me again why we're pushing masks in schools...",1.0,0,0,0,11.0,0.0,303.0,2.0,640.0,210.0,0.0,,1.0
Jon Greenberg,Video shows missile attack in Beirut explosion.,Weather forecast : Mainly sunny with a chance of a missile attack on Beirut #lebanon,0.0,1,0,0,94.0,0.0,116.0,0.0,293.0,1953.0,0.0,,0.0
Sarah Hauer,"The United States is ""the oldest democracy"" in the world.","@stillgray The United States calls itself the worlds oldest democracy

One line in and the misinformation is already flowingwe are Republic, not a Democracy. They are different, something most kids coming out of high school dont understand.  THAT is by design.",0.0,1,11,0,113.0,0.0,270.0,1.0,4386.0,2221.0,0.0,,1.0
Miriam Valverde,"The Trump administration worked to free 5,000 Taliban prisoners.",@MarshaBlackburn The Trump administration released 5000 Taliban from prison as part of their negotiations. Sit. Down.,0.0,0,0,0,1580.0,,2544.0,1.0,57047.0,72358.0,22.0,US,1.0
Jim Tharpe,"Both the Democratic and Republican candidates for president in 2016 are ""quite unpopular.""","@BrielleClaremo1 Again, this is projection. FACT: More Bernie voters voted for Hillary in the 2016 general than Hillary voters voted for Obama in 2008.

You enabled Republicans by supporting uniqely unpopular, massively corrupt, and incompetent candidates like Hillary clinton.",2.0,0,0,0,4392.0,0.0,2499.0,1.0,169456.0,66776.0,20.0,,1.0
Amy Sherman,Says a video captures sound from the surface of Mars,I feel like having video and sound from planet Mars should be a much bigger story. I'm fascinated.,1.0,0,3,0,307.0,,1296.0,0.0,11299.0,9971.0,0.0,US,0.0
Madeline Heim,Says wearing masks has been proven ineffective.,"@TheWeeklyPulls It restricts my right to live freely without a muzzle. Also look at the packaging of the masks. Says in plain english ""Does no prevent covid"". They've also been proven to be ineffective. Call me when everyone is wearing airtight masks instead of loose cloth that stops nothing.",1.0,0,0,0,187.0,,220.0,1.0,13267.0,7564.0,6.0,US,0.0
Steve Contorno,"""Rand Pauls speech ... on 'Gattaca' was totally ripped off of Wikipedia.""",The Rand Paul people are furiously trying to edit the Gattaca Wikipedia page right now.,1.0,2,2,0,1819.0,,1393.0,0.0,70330.0,45412.0,82.0,US,1.0
Stefanie Pousoulides,"""Food Stamp participation hits 10 year low.""","@realDonaldTrump @OANN Crazy what happens when you have an administration that takes away food stamps then cheers about the 10 year low.  You have no heart, and kids are hungry because of you.  Loser.",0.0,1,1,0,1719.0,,3938.0,2.0,128603.0,17562.0,14.0,US,1.0
Lauren Carroll,"""The top25 hedge fund managers (are) making more than all of America's kindergarten teachers combined.""","""Top 25 hedge managers making more than all kindergarten teachers combined, and paying less taxes""
 #Hillary2016",0.0,0,0,0,621.0,0.0,723.0,0.0,16848.0,24372.0,19.0,,1.0
Sue Owen,"""Texas has the highest rate of uninsured in the nation. ... And there are more uninsured children in Texas than in any other state.""","@GregAbbott_TX 1 in 500 Texans have died of COVID-19. Hundreds died in the Feb. freeze &amp; nothing was done about it. When a hurricane collided w/ the Texas coast you were on cable bragging about suing the feds. TX has the highest uninsured rate of any state.

Please fix your own failures.",0.0,0,0,0,3795.0,,2740.0,1.0,2896.0,9698.0,26.0,US,1.0
Bill McCarthy,The southern U.S. border is now open to anyone from anywhere in the world who wishes to enter our country.,"Biden regime makes a false pledge to crack down on human trafficking as migrant crisis roils border.

Meanwhile, Biden has ordered the use of government aircraft to move illegal aliens throughout the U.S. without first vetting them and vow to keep southern border open.",0.0,1,0,0,40.0,,44.0,0.0,2940.0,5683.0,0.0,,0.0
Katie Sanders,"Despite what Donald Trump claims, ""there werent 15,000 people who turned out in Phoenix"" to see Trump speak.",you look@the # of people@Trump's 15000 Sanders 11000 @ rallies in Phoenix they say Sanders bet Trump I had a guy trying to say Trump # 4049,0.0,0,0,0,35.0,,104.0,0.0,445.0,606.0,1.0,,1.0
Chris Nichols,San Francisco had twice as many drug overdose deaths as COVID deaths last year.,"Greetings all heres a little San Francisco story for you. A friend looked out his window and saw that someone had been immobile for hours yes of course, another drug overdose because thats the thing here! Thread",3.0,13,35,2,3349.0,0.0,3042.0,0.0,51382.0,32015.0,21.0,US,1.0
Michael Majchrowicz,"Says Burisma admitted in a Ukrainian court to paying Joe Biden $900,000.","@CBSNews @nancycordes Burisma admits to bribing Joe Biden, but disputes the amount paid, in Ukrainian criminal court.  Prosecutors allege a $900,000 lump sum cash payment.  Burisma says, yes, we bribed Joe Biden, but it was a different amount.",0.0,0,0,0,820.0,,1221.0,2.0,52746.0,69173.0,2.0,US,0.0
Bill McCarthy,The southern U.S. border is now open to anyone from anywhere in the world who wishes to enter our country.,"But our southern border is open. #Biden 
via @nprnews: Canada Opens Its Land Border For Vaccinated American Visitors. The U.S. Stays Shut",0.0,0,0,0,2471.0,,2612.0,1.0,1242.0,34427.0,84.0,,0.0
Ciara O'Rourke,Says Nancy Pelosi wont let Capitol police testify about what happened Jan. 6.,"@OANN pelosi should testify; she staged jan 6th riots. she's in charge of security at capitol &amp; told cap police they weren't getting xtra security. Y? b/c xtra security would ruin staging &amp; she needed insurrection charge 2 impeach trump. bowser turned down xtra security 2, Y? a set up",1.0,1,12,0,1525.0,,1200.0,1.0,22106.0,62652.0,17.0,US,0.0
Ciara O'Rourke,Early morning election results from Michigan and Wisconsin show voter fraud.,"Why is there under reporting of the voter fraud and election interference found in Wisconsin and Michigan? Lets get this fraudulent election decertified, put in the duly elected President and get this fraudulent, anti American administration out of office and into Gitmo",0.0,1,0,0,1238.0,,1934.0,0.0,16750.0,27341.0,4.0,US,0.0
Will Cabaniss,"""There are actually only 30 countries that practice birthright citizenship.""","@FoxNews Julie Banderas, in regard to birthright citizenship, NO 30 countries do NOT offer birthright citizenship. You are a LIAR as well as some of the OTHER commentators on Fox News. 

Perhaps you should watch TUCKER CARLSON in order to get your FACTS straight.

Remember? FACTS??",0.0,0,0,1,1891.0,0.0,1644.0,1.0,53060.0,64380.0,6.0,,1.0
Samantha Putterman,Friendly reminder: Cigarettes are FDA approved.,"@DragonTat2 @JasonEbacher @LandM_Marius @MichaelPSenger You are being willfully ignorant at this point. No wonder you are muting everyone that disagrees with you. One last time - What we are getting now is still under EUA and is NOT the FDA approved Gene therapy.  And one last thing, did you know cigarettes were FDA approved? Nice huh",1.0,0,0,0,481.0,0.0,610.0,4.0,34333.0,11039.0,2.0,,0.0
Lauren Carroll,"""Supreme Court 15 times over the last 120 years has said marriage is a fundamental right"" and never said ""it had to be between a man and a woman.""","HISTORIC Supreme Court ruling finds marriage equality exists under DUAL rationals, a fundamental RIGHT and EQUAL PROTECTION.",0.0,0,0,0,8821.0,,140.0,0.0,4062.0,6478.0,7.0,,1.0
Louis Jacobson,"""This year, the overwhelming majority of new jobs are part time.""","@Robbill123 rubbish. vast majority of new jobs R 0  hrs contracts, low paid, part time - benefits bill up under Tories as people need help",1.0,0,0,0,22185.0,,1230.0,1.0,254.0,27326.0,552.0,,1.0
Jon Greenberg,Says his policy is that health insurance should always cover preexisting conditions. For anyone. Period.,"@redeadredhead When insurance providers decide to call a positive Covid test a preexisting condition &amp; refuse to cover any medical costs, the point of faulty testing will be at the most crucial it will ever be but it will be too late if we all follow that line of thinking.",1.0,0,0,0,658.0,,630.0,1.0,22500.0,22501.0,10.0,US,0.0
Michael Majchrowicz,"Says Burisma admitted in a Ukrainian court to paying Joe Biden $900,000.","RT @MichaelCoudrey: Burisma admits to bribing Joe Biden with a lump sum payment of around $900,000 USD in a Ukrainian criminal court today.

US Media: *crickets*",0.0,0,0,0,114.0,,357.0,1.0,250.0,6798.0,1.0,US,0.0
Samantha Putterman,Friendly reminder: Cigarettes are FDA approved.,"@J_Roll_It_Up @bpmcgant @POTUS Because there is a proper place for E-cigs. I know multiple people who were able to quite smoking actual cigarettes by switching to e-cigs and then have a much easier time quitting e-cigs. E-cigs help smokers quit, so it's good that the FDA approved them. Terrible argument.",1.0,0,0,0,113.0,,155.0,2.0,29472.0,14261.0,8.0,US,0.0
Katie Sanders,"Obama promised to cut the deficit by half by the end of his first term but he ""hasn't even come close.""",@NikkiHaley The GOP wouldnt even allow Obama to have a deficit neutral corporate tax cut!  Then you put in your fraudulent tax cut pandering to your donors and promised it would pay for itself. Trickle down never works and you know it. It works great for some banks accounts.,0.0,2,19,0,388.0,0.0,598.0,1.0,21285.0,52164.0,1.0,,1.0
Chris Nichols,"California has ""the highest poverty rate in the nation"" when considering the U.S. Census Bureaus Supplemental Poverty Measure.","@GreenGuerilla1 @chumpsupporter2 @larryelder Quality of life is a measure of comfort, health, and happiness by a person or a group of people since this is your definition how come California has the highest poverty rate and homeless rate long with the best other liberal cities ran by",0.0,0,0,0,909.0,0.0,1579.0,3.0,260.0,4894.0,0.0,,1.0
Eric Stirgus,"""Forty-seven percent of (members of Congress) are millionaires.""",@CREWcrew Maybe the attraction of millionaires to congress will drop off,0.0,0,2,0,132.0,,839.0,1.0,6876.0,13525.0,0.0,US,1.0
Madeline Heim,"Its been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.","@Zebop @IJefTomI Rental properties go co-op when people can afford houses. 

Minimum wage isnt raising with inflation. 

If you are to compare wages to 50 years ago, todays wage makes and equivalent of $6800 less.",1.0,0,1,0,1464.0,,2904.0,2.0,30736.0,30325.0,12.0,US,1.0
Clara Hendrickson,"""Michigan has requested a full forensic audit.""","@mitcheten1 @AnthonyCatagnu1 @WendyRogersAZ Not Nevada; Arizona.

Also, there's ongoing efforts in Pennsylvania and a rally took place just today for a forensic audit in Michigan.

So, brace for impact. This is real not the #RussiaCollusionHoax. 

You of course believed in that Mueller investigation scam no doubt.",0.0,0,0,0,151.0,,447.0,3.0,22538.0,8122.0,0.0,US,0.0
Janel Davis,Americans spend more than $160 billion and 6 billion hours per year complying with the tax code.,via @_dsiegel -  In 2005 Americans spent an estimated 6 billion hours complying with the federal income tax code at an estimated cost ...,0.0,0,0,0,1177.0,,572.0,0.0,10412.0,14558.0,76.0,US,1.0
Joshua Gillin,"Says Marco Rubio ""voted against the bipartisan Violence Against Women Act.""",RT@baratunde Has Marco Rubio gotten to the part where he explains why he voted against the Violence Agst Women Act?h/t @SaraJBenincasa #SOTU,1.0,3,1,0,21200.0,,2101.0,2.0,74156.0,215749.0,609.0,US,1.0
Joshua Gillin,"Says Marco Rubio ""voted against the bipartisan Violence Against Women Act.""","Marco Rubio voted ""No"" on Violence Against Women Act.",0.0,0,1,0,270.0,,1611.0,0.0,248.0,5606.0,3.0,,0.0
Sue Owen,"Says according to the FBI, more people are killed each year with hammers and clubs than rifles.","@mitchellvii Nobody said it was unlimited, people are blaming the gun in the hands of a crazy person. It's the crazy that's the problem here not the tool.
Per the FBI, more people were killed with hammers and clubs than any long guns.",0.0,0,0,0,572.0,,994.0,1.0,142157.0,6556.0,1.0,,1.0
Dana Tims,"""Marijuana is less addictive than both alcohol and tobacco.""","@boldlycarryon @meaganwith2as @_davvd @chaselyons A.) Peer reveiwed research has substantial evidence to prove that weed is not addictive and many scientists even believe it could be beneficial in small to medium doses (less so when smoked), B.) Government research on marijuana is not trustworthy as the government likes to...",1.0,0,2,0,27.0,,128.0,4.0,13267.0,2221.0,1.0,US,1.0
Gabrielle Settles,"Says Joe Biden said, This country is doomed, not just because of African Americans, but because by 2040 this country is going to be minority white European.""","@kristal100 @charliekirk11 Well according to Biden, the country is doomed when white Europeans are no longer the majority. Yea he said that out loud.",0.0,0,0,0,99.0,,203.0,2.0,8074.0,9181.0,3.0,US,0.0
Eric Stirgus,You can buy lobster with food stamps.,All them food stamps y'all mfs got y'all kids better be eating lobster every damn night,0.0,0,1,0,804.0,0.0,425.0,0.0,6585.0,84439.0,4.0,,1.0
Miriam Valverde,Says the nation is locked down and theres a wide open border.,@KenDilanianNBC Then why shd people get a vaccine when  BidenAdministration has no regard for Americans by having the Southern Border Open with illegals that are infected with Covid spreading it in our country to Americans. Americans shd NOT comply until Border is locked down &amp; illegals removed,0.0,0,0,0,767.0,0.0,752.0,1.0,146278.0,294540.0,10.0,,0.0
Eric Stirgus,"""Forty-seven percent of (members of Congress) are millionaires.""","@LeeVing14 I have no proof whatsoever but I do wonder if the get-rich with insider trader info isn't why a lot of people run for Congress these days. It's certainly not unusual for them to arrive with average financials and within a few years, they've become millionaires. Hmm.",1.0,2,5,0,12990.0,,12549.0,1.0,244779.0,197805.0,16.0,US,1.0
Gabrielle Settles,The tax deadline is April 18th. Do your taxes soon.,"BREAKING:
IRS will extend the tax deadline by 1 day, Wednesday April 18, 2018 
 Taxpayers can submit tax returns
 without penalty through Wednesday due to significant outage in e-filing systems during Tuesday",0.0,0,0,0,4042.0,,1395.0,0.0,172.0,16921.0,59.0,US,0.0
Bill McCarthy,"""DMX received COVID vaccine days before heart attack.""",not yall insinuating that the covid vaccine caused dmx to have a heart attack i hate this app,0.0,0,2,0,1843.0,0.0,939.0,0.0,183193.0,100112.0,4.0,,1.0
Bill McCarthy,"It now appears there actually was meaningful voter fraud in Fulton County, Georgia, last November. That is not a conspiracy theory. It's true.","@Godwindsalways @mitchellvii If they will derail a rally like they did in Tulsa last night, they will do anything. In November it must be mandatory to show up at the polls with proper ID to have votes count. We will lose this country to voter fraud if not.",0.0,1,2,1,196.0,0.0,1.0,2.0,40926.0,20812.0,0.0,,0.0
Warren Fiske,All of the science and data say its perfectly safe to have teachers and students in the classroom.,"@StevieIsLovely @jjuniper7 @SabrinaSiddiqui It would be nice if teachers unions actually cared more about the students they teach rather than themselves. The science says it is safe with precautions, for teachers to return. Demanding 100% safety is ludicrous. Im sure those same teachers go to the grocery store as well.",0.0,0,0,0,121.0,,495.0,2.0,12566.0,5490.0,2.0,,0.0
Jill Terreri,"New York has passed ""the best paid family leave"" program in the United States of America.",New York Just Passed America's Best Paid Family Leave Law #paidleave #worklifebalance #childcare #eldercaee,0.0,0,0,0,149.0,,182.0,0.0,49.0,286.0,7.0,US,1.0
Amy Sherman,"The voting bill known as H.R. 1 would mean that millions of illegal immigrants are quickly registered to vote.""",@RepAOC what happens when the 1.9B Bandaid you voted for runs out with no substantial way to earn more. Like 15/hr would have done. Why do you so called progressives refuse to use your power and just not vote for the illegal funds for Beidens Syria bombing. Money should b here,0.0,0,0,0,2.0,,13.0,1.0,45.0,327.0,0.0,US,1.0
Bill McCarthy,Video footage from Georgia shows suitcases filled with ballots pulled from under a table and illegally counted after election observers were told to leave.,"@TPostMillennial This in Georgia, the state where observers were kicked out and suitcases of ballots under tables were caught on camera.",0.0,0,0,0,698.0,,586.0,1.0,6041.0,11787.0,10.0,US,0.0
Dan Clark,"Donald Trump is ""against marriage equality. He wants to go back.""","Repubs insisted that gay marriage would destroy marriage, the family and the country (Mike Pence actually said this.) We've had marriage equality since 2015 and the only thing that's tried to destroy the country is Trump",4.0,81,483,4,60464.0,,1360.0,0.0,25982.0,8975.0,442.0,,1.0
Sue Owen,Nearly 40 percent of his McAllen-area constituents suffer from obesity.,"@ScottAdamsSays A large study based on more than 40,000 people published in the International Journal of Obesity suggests that nearly half of the people categorized as overweight were cardiometabolically healthy, while 30 percent of people within the normal BMI range were not in great shape.",0.0,0,0,0,176.0,0.0,1641.0,1.0,5125.0,5580.0,2.0,,1.0
Samantha Putterman,Images that show a 90-year-old UK woman receiving the Pfizer COVID-19 vaccine appeared online in a CNN news story in October.,"#WhatILearnedToday

Outside of the drug trials, the UK government reports that a 90-year-old woman has become the first person to receive the Covid vaccine.  However, family members give her age as 25.",0.0,0,0,0,70.0,,117.0,0.0,1349.0,12734.0,1.0,US,0.0
Allie Morris,"Says Kelly Ayotte ""voted again yesterday against a proposal to expand background checks -- (buyers) can continue to simply go online or to gun shows to purchase guns without background checks.""",.@citizensrock @LeChatNoire4 Kelly Ayotte says background checks burden on gun shop owners. Also deprive funeral parlors of business.,1.0,1,1,0,13601.0,0.0,13463.0,2.0,49900.0,70994.0,29.0,,1.0
Chris Nichols,"""California is 49th out of 50 in the United States in per capita housing units. Only Utah can lay claim to being lowest in per capita production.""","@SearsMe @SexCounseling @JoeBiden You are correct. California is a very blue state.

This must be why it ranks dead last in housing affordability, and is producing fewer mid- to high-range paying jobs per capita than any other state in the union.

Keep knocking em dead California...literally.",0.0,0,0,0,228.0,,417.0,3.0,720.0,2775.0,4.0,US,1.0
Allie Morris,"Says Kelly Ayotte ""voted again yesterday against a proposal to expand background checks -- (buyers) can continue to simply go online or to gun shows to purchase guns without background checks.""","@Mornacale Ads attacking Kelly Ayotte for voting against background checks, then ads attacking those attack ads.",0.0,0,0,0,608.0,,442.0,1.0,25550.0,51866.0,34.0,,1.0
Joshua Gillin,Says Bill and Hillary Clinton attended Donald Trump's last wedding.,@aVT_II @KirstyBain65 @anthonyzenkus Except he wasnt. Trump kicked him out of mara lagoon. Ask the Clinton's why they rode his private planes 100s of times and trump only 1 or 2 times? How Bout maxwell being at Chelsea Clinton's wedding? If we wanna go down this rabbit hole we go down all the way or not at all.,0.0,0,0,0,2.0,,25.0,3.0,136.0,382.0,0.0,US,1.0
Jill Terreri,"New York has passed ""the best paid family leave"" program in the United States of America.","@Xzamilloh @DARDYER @michaelwhitney Worry about Texas bro: New York has $15 minimum wage, paid family leave, medicaid expansion, free college tuition, tough gun laws, and Hakeem Jeffries as our Rep from the 9th District...maybe get your state to reflect your ""values"" before decrying other states' Reps on twitter",1.0,0,1,0,577.0,,779.0,3.0,9786.0,5882.0,2.0,US,1.0
Bill McCarthy,Joe Biden wants to raise taxes on 82% of all Americans.,"@GOPChairwoman @realDonaldTrump Still banging out the same bullshit

Biden will only raise taxes on those who earn over 400k

82% of Americans do not earn over 400k",0.0,0,1,0,1959.0,,4658.0,2.0,12798.0,6137.0,0.0,US,0.0
Warren Fiske,"""Did you know that the U.S. is one of the very few nations in the world without an official language?""","@Rondell_Trevino Not unkindly, but there are people who believe that English should be the official language of the U.S., yet do not speak grammatically proper English themselves.",0.0,0,0,0,103.0,,446.0,1.0,10665.0,1512.0,3.0,US,1.0
Sean Gorman,"""A shocking 20 veterans are committing suicide each and every day, especially our older veterans.""",@Yamiche @MeetThePress @chucktodd @jonallendc @dpletka A Liberal trait is to give away everything to the immigrants &amp; a Conservative trait is to take away everything from the immigrants. During this battle of political ideologies Veterans being homeless and committing suicide at a rate of 20-22 per day are ignored. Forgotten People!,1.0,0,0,0,98.0,0.0,288.0,5.0,2933.0,35248.0,0.0,,1.0
Joshua Gillin,Says income tax rates under Eisenhower were as high as 90 percent.,@50cent Under Eisenhower the top income tax rates were 91 percent for the superwealthy. At this time US was richer and more equal than ever.,0.0,0,0,0,1203.0,,1230.0,1.0,19300.0,13497.0,3.0,US,1.0
Daniel Funke,"Six states ""decided to stop counting"" votes as Donald Trump was ""headed for a win on election night.",@AP Corrupt Biden's DOJ is questioning the GOP-controlled Arizona Senate's private recount of the election results in Maricopa County but six Democrat run states can stop counting votes on #November3rd &amp; kick out Republican observer's and there's nothing to see here just do as I say,0.0,0,0,0,45.0,0.0,10.0,1.0,8991.0,10756.0,2.0,,0.0
Mica Soellner,"""The law says that mental health must be treated the same as physical health,"" but coverage by health insurers is unequal.","AlterNetDotOrg: ""...it will require insurers to offer mental health care benefits equal to physical health benefits.""",0.0,0,0,0,540.0,,4863.0,0.0,1306.0,141959.0,26.0,US,1.0
Daniel Funke,"This virus has a cure. It is called hydroxychloroquine, zinc, and Zithromax. I know you people want to talk about a mask. Hello? You dont need (a) mask. There is a cure.","@stephsings1 Hey, didn't you say you wanted to be entertained?
And besides, I read somewhere that pink Bosox caps are safer than N95 masks, and cure Corona even better than Ivermectin and Hydroxychloroquine combined! (Doesn't work on Yankee fans though, sorry)",0.0,0,2,1,54529.0,,47724.0,1.0,170301.0,76653.0,32.0,,0.0
Ciara O'Rourke,Herd immunity has been reached.,"@DavidSteadson Wow, herd immunity seems to have been finally reached. Can't believe we had to wait 2 years for this",0.0,0,3,0,45.0,,119.0,1.0,26886.0,10049.0,0.0,,0.0
Julie Kliegman,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""","@business Funny that those that gloss over and promote such blatant theft of territory, pontificate and sanction other countries like China and Russia when they either try to or do take over land that was historically theirs up until recent history.

#Crimea
#Taiwan
#HongKong",0.0,0,0,0,360.0,,1690.0,1.0,39723.0,23841.0,1.0,US,1.0
Jon Greenberg,"Says President Barack Obama spied on my campaign, and got caught!",@JudgeClayJ @BarackObama Barrack Obama spied on Donald Trumps campaign and got caught.,0.0,1,12,0,18811.0,502.0,18604.0,2.0,14639.0,8946.0,120.0,,0.0
